database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	AX1_GB5_01_10470	BD1_GA3_01_10459	BL2_GA5_01_10461	BR1_GB6_01_10471	Fusty_GC3_01_10476	KA1_GB1_01_10465	LP1_GB3_01_10467	NB1_GB8_01_10473	PA1_GA4_01_10460	PK1_GB7_01_10472	Rancid_GC2_01_10475	RB2_GB4_01_10469	RB4_GB2_01_10466	TP1_GA8_01_10464	EX1_GA2_01_10458	BL1_GA6_01_10462	YH1_GA7_01_10463	Musty_GC4_01_10477	RB1_GC1_01_10474
unknown				unknown	96.9638				1.06	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										85459.275	500795.0953	73480.34182	96587.80291	56150.32727	16912.7872	11752.1925	15726.484	63100.085	93737.707	93791.66154	13531.50769	15917.60691	16928.65108	88053.576	74125.49527	58325.832	46317.8968	53219.628
unknown				unknown	101.0287				3.98	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										319844.9203	5149.537455	5968.701091	82179.328	32245.89964	44229	37416.35138	61013.61943	45214.68764	55028.61964	43928.44655	48331.7616	116418.1467	34103.3584	96065.87143	31409.47927	12138.03927	28390.56	40009.437
unknown				unknown	111.0131				1.05	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										32798.535	57832.704	61967.113	50225.15867	42871.2064	1173.988	483.392	578.25	57621.765	28009.275	37997.886	999.2748571	343.498	610.615	40036.9152	47749.3744	46578.316	42756.948	46227.51
unknown				unknown	112.9906				14.8	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										160609.318	145361.5744	203456.1533	143927.8984	178128.5753	127461.652	131234.7504	148350.3253	184648.752	156374.3184	143636.861	107585.521	120596.4	95508.92	160452.72	138719.9616	158603.1433	121536.004	141189.1456
unknown				unknown	112.9905				14.23	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										241101.5564	282701.7938	146264.1697	213853.47	198324.2733	126556.0116	211766.96	152060.8657	134741.9667	250712.4769	169474.1007	194985.9316	186691.7258	172442.8029	178851.2553	219095.9549	216873.9578	175527.312	257131.6671
unknown				unknown	112.9906				13.57	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										97433.44	144097.9773	122558.9109	76204.3072	90981.43543	29130.1296	94469.96	24172.308	115681.552	87779.202	65361.596	76773.5552	71059.6	36008.483	102222.356	84282.2112	99050.93333	48685.0816	79652.56
CHEBI:30776	C6H12O2	CCCCCC(O)=O	"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)"	Hexanoic acid	115.0754				4.12	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										10024.6016	2982.898286	3006.113143	76599.84	4592.034	220044.1493	0	236243.2087	8265.4768	157583.696	1614.074667	9227.5424	10216.704	27204.9752	61785.9856	2144.188	2037.258667	33241.1088	31655.48364
unknown	C8H7O			unknown	119.0558				6.99	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										299111.192	1135.7955	2596.776	195075.192	860.708	167214.492	472.1754286	14568.50743	54114.26133	230931.656	8784.936	77262.63133	202758.272	52061.268	261343.4646	4990.102857	1401.387429	2497.752	3344.652
unknown				unknown	127.0455				3.96	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										275977.0867	6570.200615	7021.44	70611.97714	5505.627077	31635.75314	5560.9312	60102.304	41509.3872	38502.15385	22586	46499.70246	155269.2571	37661.544	119199.468	32462.7245	9799.159692	11876.22	13507.18629
unknown				unknown	137.061				4.07	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										188844.2182	9385.464	6230.824	229375.5024	6393.704	126153.5688	1360.1	51906.192	15812.89667	217247.1576	21042.2656	43827.7136	90604.99733	71866.436	228595.12	10851.5664	4188.913333	17394.3	11159.5504
unknown				unknown	138.0259				5.38	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										170229.3613	33691.228	11071.49933	32482.36467	9024.037333	59639.438	3746.412	40067.8272	58024.77333	63299.628	6240.0352	25888.696	27677.112	38239.574	105215.5867	17368.6016	11580.05	11600.26914	13915.536
unknown				unknown	139.01				3.95	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										179220.388	3172.731429	3038.282	44774.982	1921.392571	14671.216	419.7045714	31550.39067	26591.68	20106.99933	13694.786	21394.88	93209.73714	19382.014	60280.22	14457.544	4895.993333	5747.91	5656.854
unknown				unknown	139.0463				3.98	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										93052.5728	3566.41	4036.8832	38471.88114	2515.7152	18786.21733	416.3650909	15764.5488	31263.066	23540.815	16778.53022	26875.12178	48206.94857	23441.08356	52089.14667	18269.0928	6681.136	7164.2116	6982.336
unknown				unknown	141.0229				1.55	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										20284.565	18151.315	10878.294	24597.1152	15013.5552	9288.237	1200.186	6646.0576	15865.578	36024.16	6925.3	3884.815	6629.796	7644.744	20550.476	10597.22	11634.516	11232.555	12071.35067
CHEBI:28837	C8H16O2	CCCCCCCC(O)=O	"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)"	Octanoic acid	143.1077				7.18	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										19192.62	23824.368	16151.3376	5843.28	22547.8656	6011.79	1356.681333	6500.2192	12357.13745	10370.745	3048.144	1228.298	8979.336	8341.3496	12970.5264	18426.396	21190.7392	17260.1	10553.958
CHEBI:27386	C9H8O2	[H]C(=Cc1ccccc1)C(O)=O	"InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)"	Cinnamic acid	147.0452				6.37	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										14015.724	20359.99333	40681.55022	17897.384	28184.0144	12013.85	5614.7408	10105.755	16250.054	32646.7008	25883.98867	4842.09	12734.736	8755.261	23191.11667	9708.7536	14768.396	24908.6464	20424.75
unknown				unknown	153.0623				3.38	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										514702.2909	13161.8655	5238.792	335661.6	1182.468	286043.8917	482.2217143	15669.86914	62685.55	381337.128	9315.165333	119275.468	346093.9013	110950.158	458389.9566	20542.21714	8943.856	4266.072	1667.304
unknown				unknown	153.0557				3.53	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										30573.7632	1383.162286	320.6057143	23217.41908	0	18503.09486	542.484	1248.424	5118.36	23064.26	421.792	8668.8392	21309.374	8036.5496	24521.584	1900.348667	560.412	450.176	0
unknown				unknown	157.1305				8.47	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										30908.43543	25259.91	23383.6512	36994.488	92242.656	58375.3248	19520.904	106509.768	28317.924	44998.659	1.16E+07	27134.144	30445.411	43882.488	46367.5536	21250.736	27926.8128	35341.8208	33508.64
unknown				unknown	165.0482				14.5	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										142005.5636	239201.8347	468720.9	172915.708	266100.15	136877.328	38488.248	91990.21067	198319.8832	359251.718	188525.2096	26921.916	99999.38	79187.7744	242602.4496	98810.0568	153101.8356	201238.7111	202287.3032
unknown				unknown	165.0483				14.07	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										41302.305	69186.48	108600.748	73516.576	108085.684	31698.288	9071.391	23772.677	69086.6775	151477.92	79753.518	12165.45	38459.0464	22551.78667	100136.5507	27308.282	47069.5825	80465.964	79583.1488
unknown				unknown	165.0557				5.44	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										16325.04	29158.524	27952.2672	28668.18182	29598.0048	13429.06	8408.108	17778.1248	28368.33	31633.8464	73444.888	9285.3072	11900.46	10165.136	30502.16	13251.04	19188.6408	19487.192	24266.645
unknown	C9H10O3			unknown	165.0625				6.32	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										430673.0057	13246.2	35023.952	48754.464	1547.926	40000.338	3699.211	25933.60267	163218.0285	66124.15333	17719.666	152079.588	458515.08	96861.886	555953.6667	50381.3904	39753.78222	5023.876	19776.31569
unknown				unknown	165.0623				5.6	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										139576.08	5276.3232	8711.2824	7998.2784	386.54	5179.952	1952.856	4736.1216	100919.632	7912.908	8250.688	64747.25	185904.16	27067.362	143743.0994	28608.8064	11934.8112	772.176	2059.36
unknown				unknown	166.0492				14.49	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										14320.316	18634.5432	35005.89556	14910.472	25351.79733	12567.45467	2554.176	9503.768	19274.66667	31060.581	12851.65933	2204.296	10625.748	5889.842	20707.7616	9395.88	14309.856	21813.29378	18126.208
unknown				unknown	171.1102				4.17	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										9139.119	7068.8	6704.315	17444.056	18192.792	21288.1568	3983.9632	33905.484	7555.464	17177.0256	832295.68	7698.672	6998.145	9059.344	20017.128	7556.148	7799.1368	24142.5888	9328.592
unknown				unknown	171.1462				9.67	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										45270.354	36809.99314	46291.302	38398.604	10407.768	44044.5632	33336.704	63194.9	43756.2	50098.706	1657455.003	33024.852	34832.592	36263.552	43695.498	42556.725	38886.99429	39653.5824	40661.6064
unknown	C10H10O3			unknown	177.0557				6.82	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										6567.032	1297.690667	1908.486667	43572.2976	3202.194286	54111.91	381.276	139725.5849	2866.948	41064.814	1819.097	4709.986	7011.4704	15033.4272	42631.97367	1457.203	909.198	31378.1895	126795.5632
unknown				unknown	179.0788				6.33	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										560015	29241.43543	50717.284	76077.632	2500.7585	63604.91133	4916.7905	39353.34857	206380.638	106284.3789	24766.576	185899.14	609995.0133	166331.168	703231.5754	77881.7	49314.472	5773.358667	30004.68343
unknown	C10H12O3			unknown	179.0716				7.33	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										959582.4631	231690.8591	72360.352	42700.70667	1766.607778	13782.14933	3151.209556	10745.62667	287194.9785	77113.79169	13227.50618	121619.3006	153991.674	51368.02036	415407.3846	578243.76	144030.9231	3312.357882	7919.192615
unknown	C9H12O4			unknown	183.0665				5.59	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										334385.784	10022.272	21229.75067	18478.564	1107.498857	10974.51333	5586.132	9423.1	237370.782	19909.834	17273.008	165980.3865	417368.8133	68670.44533	331885.6667	63878.17033	37748.13785	1190.272	2762.5125
unknown				unknown	183.0736				6.33	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										156081.6517	10260.92	15801.728	20748.376	1440.9575	19860.556	2388.6865	14695.30667	68483.13429	36199.248	9973.536	60403.1675	141869.936	59601.26308	158622.4863	23213.92667	17326.1744	3278.986667	10158.18514
unknown				unknown	185.0529				4.69	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										60850.4072	900.1848	3476.406667	5747.85	522.3226667	5770.034	810.34	3001.18	90992.4624	15860.8944	11878.776	57890.1216	38283.4592	18141.276	73689.27067	24757.62545	5834.072	969.78	1990.896
CHEBI:17521	C7H12O6	O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O	"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4-,5-,7+/m1/s1"	Quinic acid	191.0756				1.12	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										113842.9656	183324.7456	184346.7733	136637.8733	129296.6656	401.7828571	0	464.492	201692.745	102509.6248	80365.714	1711.8864	811.7275	514.7272727	129550.1367	149431.0272	158212.6578	126859.5104	153841.6533
unknown				unknown	195.0662				6.48	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										976678.7775	45535.23333	63167.664	90243.71785	3760.913778	77901.53538	0	30107.952	900756.672	59018.86667	60200.91	417403.8	1276481.729	228504.7863	924653.9467	236420.2997	144460.8	3074.865333	5882.84
CHEBI:2404	C10H12O4	COc1cc(cc(OC)c1O)C(C)=O	"InChI=1S/C10H12O4/c1-6(11)7-4-8(13-2)10(12)9(5-7)14-3/h4-5,12H,1-3H3"	Acetosyringone	195.0743				5.6	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										925865.4737	125543.412	72985.59333	54803.75257	3340.568	24460.756	13507.77314	13495.4384	976980.9378	64426.592	18221.166	383875.2275	492196.5938	84417.353	607072.5686	823635.2444	235904.354	1731.324	5598.254769
CHEBI:30805	C12H24O2	CCCCCCCCCCCC(O)=O	"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)"	Dodecanoic acid	199.1703				11.62	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										110174.3875	86578.8352	147298.488	138088.2817	135214.872	77214.86	117989.9	90346.586	102426.4269	97042.576	70581.42	107194.5667	112550.207	108019.044	102635.445	104674.404	123824.2603	119473.8077	128489.7467
CHEBI:77131	C11H12O5	COc1cc(C=CC(O)=O)cc(OC)c1O	"InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)"	Sinapic acid	213.0678				5.08	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										149788.4571	493.8742857	3167.722286	5806.493333	470.0215385	7396.068571	98.62066667	2902.8605	25153.83771	13900.09486	5083.291429	32105.788	44951.94	21405.742	49463.61333	36639.72	8336.425143	660.3288	748.3287273
unknown				unknown	223.0378				8.99	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										24283.72727	17825.0688	23252.37508	19419.8136	21234.42533	19720.298	16090.54286	19264.752	20042.816	21346.59091	31587.2152	9949.133333	13656.976	15417.464	23065.089	14975.44533	18887.68	17622.0288	24771.35733
unknown				unknown	223.0375				12.88	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										25451.085	39752.234	46547.52738	37592.88	39303.92267	17045.656	9590.8448	14455.2	43680.00467	45460.0944	37452.088	8347.752	15045.9536	10985.952	42446.188	22726.44738	24128.138	37179.79733	35792.62733
unknown				unknown	223.0378				13.58	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										20105.4416	30913.30182	38860.396	32386.316	42582.07133	17447.08364	12107.14364	15092.95455	30463.87418	52234.34667	32751.9864	8507.428364	14982.736	14833.77382	30791.28	22128.78462	26014.25455	31390.45455	35475.01692
unknown				unknown	223.0375				14.81	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										12961.9264	15378.352	34838.96	16998.5992	24082.61933	14550.1184	6683.865	13056.5632	12973.542	26333.4304	15282.567	5036.482	12266.9	8130.375	18396.0744	11611.1872	14167.272	13525.412	18511.628
unknown				unknown	225.0859				4.7	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										156432.892	2266.7304	3374.784	47954.224	1496.655333	29860.38133	304.9666667	39158.772	26898.718	49858.848	114793.536	13304.304	19645.93867	22439.4624	91587.64533	5626.0424	4641.232	13565.375	3689.344
unknown	C14H26O2			unknown	225.1954				12.02	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										20418.27818	18897.93257	18765.59067	26982.63273	22567.4024	35806.812	15333.70933	43858.0296	16888.492	23491.37143	16122.008	15645.156	15840.49	21198.61333	18828.94	17273.964	19392.59636	28700.852	18847.81667
CHEBI:28875	C14H28O2	CCCCCCCCCCCCCC(O)=O	"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)"	Myristic acid	227.2016				12.92	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										1299944.255	1354428.45	1295901.138	1010703.258	975272.004	1160764.606	1259773.019	887384.7048	1309412.246	854157.768	1099828.407	954008.5257	1128502.743	1156427.671	979524.7714	1279398.466	1166908.066	1070510.442	1012598.419
unknown				unknown	227.2111				14.31	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										90915.66	83862.372	96254.384	94429.163	80154.084	149021.712	105345.768	123404.346	99479.1712	121633.776	71967.68	89390.3976	191700.2388	83883.261	200298.3298	85032.714	183883.5363	141615.8147	105326.7264
unknown				unknown	228.2143				12.78	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										113767.072	135094.65	142411.7527	120903.0107	96834.5784	78250.816	95407.41	92443.19657	141082.752	92322.73371	91537.36582	117869.108	83982.812	89854.0976	86760.17333	136460.1046	124618.8257	85848.9912	82685.424
unknown				unknown	239.0657				6.9	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										81452.02067	9677.109	1707.577143	63022.0656	1051.158	86321.77029	954.155	33016.128	27019.178	146466.2646	3673.908	38575.1344	61307.57446	72067.53231	152543.5632	23301.42708	5644.602857	397.704	3589.516667
unknown				unknown	239.0694				13.57	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										44162.1024	74195.42	107109.4752	80863.416	107931.63	30407.1328	13673.572	30692.35867	67601.328	139523.0895	86886.48655	13755.1616	25218.74	29083.872	83977.31333	33933.06982	51896.15967	88918.65067	82380.31433
unknown				unknown	239.0692				14.81	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										49558.8896	126772.0623	182133.5533	67970.3024	97520.268	44203.92667	16920.696	47565.705	66062.4576	113573.4592	53471.808	17746.704	58126.775	61276.54857	84113.5504	44315.3945	84257.10667	61127.36	80191.488
unknown				unknown	239.0695				12.88	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										31557.9	56858.1168	72061.93292	53376.72923	74431.28338	27429.09231	10623.5136	24273	57437.52862	87314.7548	51199.123	11033.7696	15575.478	15755.6448	53940.27354	25866.216	30092.57333	54851.38364	51926.88
unknown				unknown	239.2111				12.64	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										23946.12267	28518.666	30007.41633	28306.08571	33114.454	74297.672	23609.868	63691.73371	20167.236	26879.088	36008.483	25256.268	19984.314	44293.142	18103.10533	25435.52	21983.22	35366.21714	23696.449
unknown				unknown	241.0714				4.51	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										483996.234	1660.67	2378.280667	47099.86	1804.622857	14454.72	136.648	26723.8608	22545.12	24239.23467	9888.671333	24767.94667	141478.4631	14406.5376	116326.4709	13953.756	3641.876	6690.841143	4177.194
unknown	C14H26O3			unknown	241.1909				9.7	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										4998.804	1423.8224	1142.3616	9906.6888	1103.734	29597.022	1194.375	30256.474	1458.4256	41006.9744	113419.872	1676.973	4315.4816	9179.865	30619.05	1365.6	1379.3208	1171.590667	4702.624
CHEBI:42504	C15H30O2	CCCCCCCCCCCCCCC(O)=O	"InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)"	Pentadecanoic acid	241.2176				13.28	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										476154.662	295138.22	333548.1067	236042.8	242703.176	173126.98	520748.58	239510.618	295271.552	211973.462	179352.894	260637.0816	254682.672	208690.902	219291.541	285104.728	482081.0752	204548.19	225663.075
unknown				unknown	242.2301				13.28	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										61455.29067	60428.66571	37414.876	22604.711	26719.284	16776.384	35897.08	29921.88185	53735.79726	24417.242	21093.2464	31006.26	33228.384	25096.428	26382.93	29849.988	30560.702	24185.9584	27715.545
unknown				unknown	243.2066				10.43	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										7978.9528	1573.921714	1858.164	22146.7152	858.2448	35658.13091	222.8457143	51043.608	6164.4	40152.0288	3783.072	2162.204	6209.6112	11840.53733	52525.4592	3145.857143	1202.888571	1534.2864	10974.817
unknown				unknown	249.0863				5.57	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										79810.42857	4228.146	6120.722667	6384.38	413.9137143	4409.08	874.089	3181.2	83026.2135	5889.842	6769.477333	42800.8592	123600.7543	23187.78	107396.0333	19454.29	11204.64	396.7573333	1265.733
